Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,SillySkeeter_AvailableHabitat,SillySkeeter_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived,NumVectorsNone,NumVectorsOnlyOocysts,NumVectorsOnlySporozoites,NumVectorsBothOocystsSporozoites,NumBitesAdults,NumBitesInfected,NumBitesInfectious,NumParasiteCohortsOocysts,NumParasiteCohortsSporozoites,NumOocysts,NumSporozoites,NumInfectiousToAdult,NumInfectiousToInfected,AAAAAAAAAAAAAAAAAAAAAAAA,TAAAAAAAAAAAAAAAAAAAAAAA,AAAAAAAAAAAAAAAAAAAAAAAT,TAAAAAAAAAAAAAAAAAAAAAAT,OtherBarcodes
6,2,50,403,0,0,403,504,0,5712,29400,14700,142,0,0,0,0,0,41,15,0,1293.87,0.035645,0,0,0,403,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0
7,3,51,340,0,0,340,447,0,6421,23600,11800,111,0,0,0,0,0,28,17,0,1324.68,0.0406537,0,0,0,340,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,50,347,0,0,347,432,0,6421,24000,12000,111,0,0,0,0,0,32,14,0,1324.68,0.0459149,0,0,0,347,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0
7,4,50,323,0,0,323,433,0,6407,20600,10300,100,0,0,0,0,0,34,11,0,1338.68,0.0410871,0,0,0,323,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2,50,351,0,0,351,455,0,6395,24600,12300,117,0,0,0,0,0,45,7,0,1350.68,0.0440093,0,0,0,351,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0
8,3,51,292,0,0,292,401,0,7151,18800,9400,88,0,0,0,0,0,39,9,0,1307.82,0.0561304,0,0,0,292,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,50,314,0,0,314,395,0,7114,24400,12200,116,0,0,0,0,0,26,7,0,1344.82,0.0551949,0,0,0,314,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4,50,285,0,0,285,392,0,7164,20400,10200,94,0,0,0,0,0,30,8,0,1294.82,0.0649843,0,0,0,285,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,50,306,0,0,306,415,0,7103,20200,10100,98,0,0,0,0,0,35,10,0,1355.82,0.0549056,0,0,0,306,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3,51,248,0,0,248,371,0,7756,20200,10100,92,0,0,0,0,0,34,10,0,1390.27,0.0695651,0,0,0,248,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,50,280,0,0,280,361,0,7779,18200,9100,86,0,0,0,0,0,23,11,0,1367.27,0.0551157,0,0,0,280,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0
9,4,50,244,0,0,244,361,0,7788,18000,9000,87,0,0,0,0,0,35,6,0,1358.27,0.0634718,0,0,0,244,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,50,269,0,0,269,365,0,7790,19000,9500,91,0,0,0,0,0,30,7,0,1356.27,0.06712,0,0,0,269,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3,51,209,0,0,209,341,0,8442,14600,7300,72,0,0,0,0,0,32,7,0,1366.95,0.0688254,0,0,0,209,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,50,255,0,0,255,327,0,8376,17800,8900,87,0,0,0,0,0,20,6,0,1432.95,0.0751249,0,0,0,255,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0
10,4,50,216,0,0,216,328,0,8420,14000,7000,69,0,0,0,0,0,22,6,0,1388.95,0.0754596,0,0,0,216,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2,50,230,0,0,230,317,0,8388,18200,9100,85,0,0,0,0,0,29,9,0,1420.95,0.0713828,0,0,0,230,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3,51,180,0,0,180,309,0,9066,12200,6100,57,0,0,0,0,0,23,6,0,1381.75,0.0936269,0,0,0,180,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,50,228,0,0,228,295,0,8973,17400,8700,82,0,0,0,0,0,22,5,0,1474.75,0.0805029,0,0,0,228,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0
11,4,50,183,0,0,183,293,0,9060,13200,6600,63,0,0,0,0,0,28,5,0,1387.75,0.0992109,0,0,0,183,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2,50,198,0,0,198,292,0,9037,12000,6000,58,0,0,0,0,0,27,5,0,1410.75,0.0780743,0,0,0,198,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0
12,3,51,157,0,0,157,284,0,9589,11800,5900,58,0,0,0,0,0,19,4,0,1474.53,0.113258,0,0,0,157,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,50,203,0,0,203,257,0,9581,12400,6200,58,0,0,0,0,0,21,4,0,1482.53,0.0847559,0,0,0,203,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0
12,4,50,153,0,0,153,268,0,9624,12200,6100,55,0,0,0,0,0,23,7,0,1439.53,0.105133,0,0,0,153,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2,50,173,0,0,173,265,0,9636,11200,5600,51,0,0,0,0,0,19,6,0,1427.53,0.117563,0,0,0,173,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0
13,3,51,132,0,0,132,257,0,10182,9200,4600,43,0,0,0,0,0,22,3,0,1475.13,0.12496,0,0,0,132,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,50,176,0,0,176,232,0,10248,12800,6400,62,0,0,0,0,0,17,10,0,1409.13,0.119559,0,0,0,176,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0
13,4,50,135,0,0,135,244,0,10267,8800,4400,42,0,0,0,0,0,16,2,0,1390.13,0.117995,0,0,0,135,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2,50,147,0,0,147,234,0,10176,12600,6300,59,0,0,0,0,0,19,7,0,1481.13,0.127458,0,0,0,147,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0
14,3,51,117,0,0,117,238,0,10642,8200,4100,39,0,0,0,0,0,12,4,0,1587.33,0.16034,0,0,0,117,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,50,153,0,0,153,212,0,10719,12000,6000,57,0,0,0,0,0,20,2,0,1510.33,0.110088,0,0,0,153,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0
14,4,51,112,0,0,112,222,0,10638,8600,4300,42,0,0,0,0,0,18,5,0,1591.33,0.157969,0,0,0,112,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2,49,126,0,0,126,215,0,10645,8600,4300,40,0,0,0,0,0,16,5,0,1584.33,0.11755,0,0,0,126,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0
15,3,51,103,0,0,103,214,0,11238,7200,3600,34,0,0,0,0,0,12,2,0,1542.92,0.193577,0,0,0,103,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1,50,136,0,0,136,190,0,11213,8800,4400,43,0,0,0,0,0,16,1,0,1567.92,0.125861,0,0,0,136,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0
15,4,51,104,0,0,104,205,0,11235,7000,3500,33,0,0,0,0,0,8,0,0,1545.92,0.185038,0,0,0,104,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2,49,108,0,0,108,201,0,11276,6800,3400,33,0,0,0,0,0,14,4,0,1504.92,0.184224,0,0,0,108,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
16,3,51,91,0,0,91,191,0,11728,6600,3300,32,0,0,0,0,0,10,2,0,1584.63,0.214294,0,0,0,91,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1,50,119,0,0,119,168,0,11683,7400,3700,37,0,0,0,0,0,15,2,0,1629.63,0.178172,0,0,0,119,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0
16,4,51,93,0,0,93,186,0,11649,6000,3000,28,0,0,0,0,0,9,2,0,1663.63,0.220845,0,0,0,93,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2,49,91,0,0,91,179,0,11669,7200,3600,34,0,0,0,0,0,15,2,0,1643.63,0.221311,0,0,0,91,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
17,3,51,80,0,0,80,177,0,12243,5400,2700,27,0,0,0,0,0,9,2,0,1582.17,0.240095,0,0,0,80,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1,50,102,0,0,102,156,0,12158,7600,3800,37,0,0,0,0,0,12,5,0,1667.17,0.22022,0,0,0,102,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0
17,4,51,80,0,0,80,170,0,12185,6200,3100,31,0,0,0,0,0,10,3,0,1640.17,0.277271,0,0,0,80,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2,49,80,0,0,80,163,0,12271,5400,2700,26,0,0,0,0,0,9,2,0,1554.17,0.228281,0,0,0,80,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0
18,3,51,69,0,0,69,165,0,12592,4800,2400,23,0,0,0,0,0,10,1,0,1727.26,0.292995,0,0,0,69,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1,50,91,0,0,91,140,0,12651,6800,3400,31,0,0,0,0,0,8,3,0,1668.26,0.219365,0,0,0,91,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
18,4,51,65,0,0,65,148,0,12610,4800,2400,24,0,0,0,0,0,10,5,0,1709.26,0.264544,0,0,0,65,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2,49,71,0,0,71,152,0,12671,4600,2300,23,0,0,0,0,0,6,3,0,1648.26,0.28781,0,0,0,71,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
19,3,51,62,0,0,62,146,0,13138,4600,2300,23,0,0,0,0,0,7,0,0,1657.53,0.359845,0,0,0,62,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1,50,77,0,0,77,132,0,13202,5600,2800,28,0,0,0,0,0,11,3,0,1593.53,0.245332,0,0,0,77,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0
19,4,51,60,0,0,60,134,0,13125,3600,1800,17,0,0,0,0,0,3,2,0,1670.53,0.356095,0,0,0,60,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2,49,63,0,0,63,142,0,13004,5200,2600,23,0,0,0,0,0,4,4,0,1791.53,0.358316,0,0,0,63,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
20,3,51,57,0,0,57,138,0,13491,3400,1700,15,0,0,0,0,0,3,2,0,1763.65,0.360334,0,0,0,57,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1,50,69,0,0,69,120,0,13514,4400,2200,22,0,0,0,0,0,7,1,0,1740.65,0.28456,0,0,0,69,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
