Time,NodeID,Genome,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_IMMATURE,STATE_LARVA,STATE_EGG
20,340461476,X-a0:X-a1,10437,0,0,10437,11625,70157,316850
20,340461476,X-a1:X-a0,10436,0,0,10436,11477,68767,320450
20,340461476,X-a1:X-a1,10544,0,0,10544,11334,67625,319150
21,340461476,X-a0:X-a0,11227,0,0,11227,11524,89759,140575
21,340461476,X-a0:X-a1,11462,0,0,11462,11332,89515,134725
21,340461476,X-a1:X-a0,11306,0,0,11306,11516,88769,138875
21,340461476,X-a1:X-a1,11468,0,0,11468,11128,87475,139725
22,340461476,X-a0:X-a0,12116,0,0,12116,11539,88606,153875
22,340461476,X-a0:X-a1,12281,0,0,12281,11259,87701,153025
22,340461476,X-a1:X-a0,12293,0,0,12293,11272,87525,150525
22,340461476,X-a1:X-a1,12201,0,0,12201,10977,86599,150975
23,340461476,X-a0:X-a0,12621,0,0,12621,11595,89524,347450
23,340461476,X-a0:X-a1,12784,0,0,12784,11251,88479,349450
23,340461476,X-a1:X-a0,12693,0,0,12693,11009,88567,355700
23,340461476,X-a1:X-a1,12698,0,0,12698,10885,87561,359000
24,340461476,X-a0:X-a0,13128,0,0,13128,13307,88141,229575
24,340461476,X-a0:X-a1,13243,0,0,13243,13017,87317,226325
24,340461476,X-a1:X-a0,13233,0,0,13233,13117,87165,227725
24,340461476,X-a1:X-a1,13241,0,0,13241,12919,86482,230075
25,340461476,X-a0:X-a0,13693,0,0,13693,14547,89122,240975
25,340461476,X-a0:X-a1,13712,0,0,13712,14380,88070,237025
25,340461476,X-a1:X-a0,13828,0,0,13828,14250,88387,237775
25,340461476,X-a1:X-a1,13723,0,0,13723,14070,88012,241425
26,340461476,X-a0:X-a0,14101,0,135,13966,15385,89880,368225
26,340461476,X-a0:X-a1,14071,0,125,13946,15448,88318,369375
26,340461476,X-a1:X-a0,14016,0,134,13882,14684,89396,370975
26,340461476,X-a1:X-a1,13971,0,136,13835,14519,89369,378925
27,340461476,X-a0:X-a0,14684,0,246,14438,14912,91071,286100
27,340461476,X-a0:X-a1,14459,0,222,14237,14956,89881,286000
27,340461476,X-a1:X-a0,14250,0,222,14028,14858,90386,284750
27,340461476,X-a1:X-a1,14276,0,240,14036,14379,91068,287350
28,340461476,X-a0:X-a0,16136,0,349,15787,13481,91142,294675
28,340461476,X-a0:X-a1,15877,0,310,15567,13353,90440,288625
28,340461476,X-a1:X-a0,16101,0,314,15787,13326,90106,294525
28,340461476,X-a1:X-a1,15921,0,357,15564,12650,91335,292175
29,340461476,X-a0:X-a0,17204,0,441,16763,12029,91405,384395
29,340461476,X-a0:X-a1,16861,0,411,16450,12062,90597,379355
29,340461476,X-a1:X-a0,17027,0,431,16596,11458,91254,378935
29,340461476,X-a1:X-a1,16749,0,487,16262,11025,92227,380035
30,340461476,X-a0:X-a0,17950,0,533,17417,10287,92136,321610
30,340461476,X-a0:X-a1,17919,0,495,17424,10103,91294,326040
30,340461476,X-a1:X-a0,17433,0,514,16919,10237,91876,316780
30,340461476,X-a1:X-a1,17225,0,560,16665,9921,92578,320830
31,340461476,X-a0:X-a0,17845,0,589,17256,9472,92354,332975
31,340461476,X-a0:X-a1,17776,0,578,17198,9364,91628,325725
31,340461476,X-a1:X-a0,17611,0,577,17034,9039,92218,323695
31,340461476,X-a1:X-a1,17297,0,638,16659,9019,93106,324225
32,340461476,X-a0:X-a0,17688,0,679,17009,16142,85343,457965
32,340461476,X-a0:X-a1,17552,0,644,16908,16047,84351,456705
32,340461476,X-a1:X-a0,17503,0,659,16844,15872,84788,460485
32,340461476,X-a1:X-a1,17015,0,698,16317,15744,85635,462905
33,340461476,X-a0:X-a0,17394,0,733,16661,16228,92450,409060
33,340461476,X-a0:X-a1,17507,0,718,16789,15752,91438,412720
33,340461476,X-a1:X-a0,16969,0,708,16261,16228,92024,398840
33,340461476,X-a1:X-a1,16619,0,748,15871,16038,92833,404580
34,340461476,X-a0:X-a0,16789,46,754,15989,17241,91393,399415
34,340461476,X-a0:X-a1,16816,42,711,16063,16755,90666,391855
34,340461476,X-a1:X-a0,16513,57,692,15764,17071,90685,380775
34,340461476,X-a1:X-a1,16236,52,738,15446,16815,91799,378895
35,340461476,X-a0:X-a0,16296,80,767,15449,18004,92379,438200
35,340461476,X-a0:X-a1,16297,72,728,15497,17576,91159,437250
35,340461476,X-a1:X-a0,15795,85,693,15017,18023,90584,434220
35,340461476,X-a1:X-a1,15614,87,741,14786,17843,91677,442390
36,340461476,X-a0:X-a0,20727,115,752,19860,14467,91582,404070
36,340461476,X-a0:X-a1,20707,102,721,19884,14114,90625,409140
36,340461476,X-a1:X-a0,20455,110,699,19646,14262,89707,394500
36,340461476,X-a1:X-a1,20158,130,705,19323,14343,91192,401370
37,340461476,X-a0:X-a0,20260,158,826,19276,15222,92250,385715
37,340461476,X-a0:X-a1,20072,139,814,19119,14997,91099,377405
37,340461476,X-a1:X-a0,19973,140,755,19078,14964,90053,364085
37,340461476,X-a1:X-a1,19695,168,769,18758,15220,91526,359455
38,340461476,X-a0:X-a0,20486,188,840,19458,15349,93258,395700
38,340461476,X-a0:X-a1,20381,169,789,19423,15173,91604,389360
38,340461476,X-a1:X-a0,20177,171,754,19252,15119,89888,397800
38,340461476,X-a1:X-a1,19967,194,781,18992,15667,91024,402780
39,340461476,X-a0:X-a0,20623,210,831,19582,15268,93433,366185
39,340461476,X-a0:X-a1,20504,199,789,19516,15085,91709,368405
39,340461476,X-a1:X-a0,20468,173,760,19535,14926,90470,357635
39,340461476,X-a1:X-a1,20214,212,746,19256,15413,91784,357155
40,340461476,X-a0:X-a0,20900,243,847,19810,14768,93415,655370
40,340461476,X-a0:X-a1,20725,222,845,19658,14443,92064,645990
40,340461476,X-a1:X-a0,20760,207,802,19751,14417,90817,639910
40,340461476,X-a1:X-a1,20584,246,781,19557,14892,91652,636730
41,340461476,X-a0:X-a0,21375,255,886,20234,14127,93467,410930
41,340461476,X-a0:X-a1,21012,255,837,19920,14031,92122,402920
41,340461476,X-a1:X-a0,21058,232,815,20011,13998,90874,406900
41,340461476,X-a1:X-a1,21111,250,778,20083,14190,91608,413590
42,340461476,X-a0:X-a0,21513,276,869,20368,13669,93754,409405
42,340461476,X-a0:X-a1,21327,249,846,20232,13458,92329,408835
42,340461476,X-a1:X-a0,21437,226,833,20378,13475,91268,406615
42,340461476,X-a1:X-a1,21415,259,816,20340,13638,92307,405745
43,340461476,X-a0:X-a0,21403,298,884,20221,13586,93643,598585
43,340461476,X-a0:X-a1,21120,265,856,19999,13103,92666,590825
43,340461476,X-a1:X-a0,21233,240,869,20124,13348,91126,589625
43,340461476,X-a1:X-a1,21237,273,854,20110,13287,92329,586125
44,340461476,X-a0:X-a0,21538,304,896,20338,15810,90969,460885
44,340461476,X-a0:X-a1,21032,267,830,19935,15355,90302,461425
44,340461476,X-a1:X-a0,21222,249,876,20097,15607,88642,458715
44,340461476,X-a1:X-a1,21222,270,872,20080,15550,89654,461155
45,340461476,X-a0:X-a0,21463,340,860,20263,15614,93262,462020
45,340461476,X-a0:X-a1,20993,309,812,19872,15339,92872,457180
45,340461476,X-a1:X-a0,21121,296,835,19990,15395,91257,457360
45,340461476,X-a1:X-a1,21141,312,848,19981,15325,92284,452000
46,340461476,X-a0:X-a0,21249,357,859,20033,16149,92319,584605
46,340461476,X-a0:X-a1,20753,300,816,19637,15888,92174,576075
46,340461476,X-a1:X-a0,20845,303,838,19704,15613,91016,570025
46,340461476,X-a1:X-a1,20831,312,872,19647,15657,91679,576755
47,340461476,X-a0:X-a0,21080,351,828,19901,16264,92811,472360
47,340461476,X-a0:X-a1,20615,305,818,19492,16074,92499,466990
47,340461476,X-a1:X-a0,20751,290,842,19619,15753,91046,465660
47,340461476,X-a1:X-a1,20632,313,895,19424,16048,91661,469910
48,340461476,X-a0:X-a0,22563,366,809,21388,15110,92508,479710
48,340461476,X-a0:X-a1,22126,323,799,21004,15022,92138,466990
48,340461476,X-a1:X-a0,22196,327,803,21066,14450,91193,468710
48,340461476,X-a1:X-a1,22134,357,887,20890,14825,91521,465570
49,340461476,X-a0:X-a0,22231,374,858,20999,15701,92710,547020
49,340461476,X-a0:X-a1,21865,324,828,20713,15448,92017,538270
49,340461476,X-a1:X-a0,21767,336,857,20574,14742,91448,540320
49,340461476,X-a1:X-a1,21681,358,920,20403,15177,91238,536490
50,340461476,X-a0:X-a0,22566,375,846,21345,15424,92961,468225
50,340461476,X-a0:X-a1,22133,333,820,20980,15239,92209,469815
50,340461476,X-a1:X-a0,21817,353,852,20612,14875,91828,460125
50,340461476,X-a1:X-a1,21825,393,878,20554,15328,91424,464295
51,340461476,X-a0:X-a0,22542,387,844,21311,15422,92968,474340
51,340461476,X-a0:X-a1,22146,347,806,20993,15369,92323,466950
51,340461476,X-a1:X-a0,21821,353,871,20597,14819,91907,467100
51,340461476,X-a1:X-a1,21926,410,869,20647,15195,91401,461870
52,340461476,X-a0:X-a0,22706,391,873,21442,15288,92976,615670
52,340461476,X-a0:X-a1,22202,336,825,21041,15203,92068,610580
52,340461476,X-a1:X-a0,21832,365,887,20580,14614,92225,605530
52,340461476,X-a1:X-a1,22075,417,874,20784,14883,91436,604800
53,340461476,X-a0:X-a0,22938,387,849,21702,14994,93164,474995
