Year, NodeId, Gender, HasHIV, On_Art_Dim, Age, Population, Infected, Newly Infected, On_ART, Died, Died_from_HIV, Tested Past Year or On_ART, Tested Ever, Diagnosed, Newly Tested Positive, Newly Tested Negative, HasIntervention(Persistant_ART),Stopped_Using_ART
1960.92,1,0,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.92,1,0,1,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.92,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.92,1,0,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.92,1,0,1,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.92,1,0,1,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.92,1,0,1,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.92,1,0,1,1,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.92,1,1,0,0,0,1857,0,0,0,10,0,0,0,0,0,0,0,0
1960.92,1,1,0,0,15,1084,0,0,0,4,0,0,0,0,0,0,0,0
1960.92,1,1,0,0,30,790,0,0,0,1,0,0,0,0,0,0,0,0
1960.92,1,1,0,0,45,493,0,0,0,6,0,0,0,0,0,0,0,0
1960.92,1,1,0,0,60,267,0,0,0,3,0,0,0,0,0,0,0,0
1960.92,1,1,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.92,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.92,1,1,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.92,1,1,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.92,1,1,0,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.92,1,1,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.92,1,1,0,1,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.92,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.92,1,1,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.92,1,1,1,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.92,1,1,1,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.92,1,1,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.92,1,1,1,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.92,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.92,1,1,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.92,1,1,1,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.92,1,1,1,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.92,1,1,1,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.92,1,1,1,1,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.42,1,0,0,0,0,1470,0,0,0,14,0,0,0,0,0,0,0,0
1961.42,1,0,0,0,15,865,0,0,0,3,0,0,0,0,0,0,0,0
1961.42,1,0,0,0,30,575,0,0,0,2,0,0,0,0,0,0,0,0
1961.42,1,0,0,0,45,349,0,0,0,4,0,0,0,0,0,0,0,0
1961.42,1,0,0,0,60,193,0,0,0,7,0,0,0,0,0,0,0,0
1961.42,1,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.42,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.42,1,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.42,1,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.42,1,0,0,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.42,1,0,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0
