Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,arabiensis_AvailableHabitat,funestus_AvailableHabitat,gambiae_AvailableHabitat,arabiensis_EggCrowdingCorrection,funestus_EggCrowdingCorrection,gambiae_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived
27,340461476,1004,6428,0,91,6337,8365,10320,116705,483800,241900,2280,0,665,0,779,0,627,224,62,4388.44,692.689,5160.38,0.381928,0.0500033,0.311842,0,0,0
28,340461476,1004,6798,0,127,6671,8728,8014,114895,278800,139400,1559,0,460,0,1168,0,603,153,42,310.934,596.41,724.477,0.0202606,0.0252806,0.0215195,0,0,0
29,340461476,1005,8359,0,159,8200,10351,6394,101212,201600,100800,1507,0,449,0,2411,0,664,153,33,4045.92,756.954,4391.35,0.00252381,0.0289519,0.00536649,0,0,0
30,340461476,1005,7181,0,252,6929,9370,9589,97093,420600,210300,3185,0,897,0,45,0,792,318,113,11832.2,1181.51,13420.6,0.0475096,0.038858,0.0452903,0,0,0
31,340461476,1005,6869,0,253,6616,9031,14105,107819,285680,142840,1055,0,347,0,539,0,701,115,35,22677,2017.31,27882.6,0.0633961,0.0498108,0.0638347,0,0,0
32,340461476,1005,6328,0,275,6053,8529,14231,148202,274120,137060,1388,0,390,0,336,0,688,154,35,25940.4,1849.99,26427.4,0.17918,0.119793,0.19597,0,0,0
33,340461476,1005,6716,0,296,6420,9095,12419,185985,552880,276440,2323,0,636,0,1333,0,635,240,70,31785.3,2483.59,35551.7,0.213536,0.0996764,0.197102,0,0,0
34,340461476,1005,7089,0,312,6777,9601,13027,233521,194560,97280,1619,0,450,0,1273,0,686,165,49,4208.75,1119.37,4577.6,0.128249,0.11048,0.12582,0,0,0
35,340461476,1005,8334,0,329,8005,10877,8687,219950,235800,117900,1748,0,496,0,2161,0,683,182,51,27660.1,2234.11,30463.7,0.050368,0.0744261,0.0477032,0,0,0
36,340461476,1005,7890,0,365,7525,10550,8374,257087,408320,204160,3186,0,667,0,710,0,774,308,72,16479.3,1690.39,18358.1,0.272031,0.143212,0.257034,0,0,0
