Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,arabiensis_AvailableHabitat,funestus_AvailableHabitat,gambiae_AvailableHabitat,arabiensis_EggCrowdingCorrection,funestus_EggCrowdingCorrection,gambiae_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived
0,26,0,913,0,0,913,882,0,0,65400,32700,0,0,0,0,0,0,87,0,0,55028.4,2985,6114.27,1,1,1,0,0,0
0,25,1,89,0,0,89,88,0,0,6600,3300,29,0,1,0,0,0,11,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,24,10,86,0,0,86,90,0,0,5200,2600,24,0,1,0,0,0,14,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,23,15,182,0,0,182,184,0,0,13000,6500,52,0,11,0,0,0,18,0,0,13757.1,746.25,1528.57,1,1,1,0,0,0
0,22,0,352,0,0,352,361,0,0,24200,12100,0,0,0,0,0,0,48,0,0,27514.2,1492.5,3057.13,1,1,1,0,0,0
0,21,0,365,0,0,365,357,0,0,23800,11900,0,0,0,0,0,0,35,0,0,27514.2,1492.5,3057.13,1,1,1,0,0,0
0,20,10,88,0,0,88,94,0,0,5600,2800,21,0,6,0,0,0,12,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,19,10,88,0,0,88,93,0,0,6000,3000,22,0,7,0,0,0,12,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,18,10,92,0,0,92,86,0,0,5400,2700,23,0,4,0,0,0,8,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,17,5,183,0,0,183,180,0,0,10800,5400,42,0,8,0,0,0,17,0,0,13757.1,746.25,1528.57,1,1,1,0,0,0
0,16,0,361,0,0,361,350,0,0,24000,12000,0,0,0,0,0,0,39,0,0,27514.2,1492.5,3057.13,1,1,1,0,0,0
0,15,5,83,0,0,83,90,0,0,6400,3200,28,0,3,0,0,0,17,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,14,0,89,0,0,89,92,0,0,5600,2800,0,0,0,0,0,0,11,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,13,10,84,0,0,84,95,0,0,6000,3000,26,0,4,0,0,0,16,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,12,15,80,0,0,80,92,0,0,7000,3500,30,0,3,0,0,0,20,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,11,10,169,0,0,169,178,0,0,11400,5700,46,0,10,0,0,0,31,0,0,13757.1,746.25,1528.57,1,1,1,0,0,0
0,10,10,44,0,0,44,41,0,0,2800,1400,12,0,2,0,0,0,6,0,0,1375.71,74.625,152.857,1,1,1,0,0,0
0,9,10,89,0,0,89,87,0,0,4400,2200,18,0,2,0,0,0,11,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,8,10,90,0,0,90,96,0,0,6000,3000,26,0,2,0,0,0,10,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,7,0,89,0,0,89,91,0,0,6600,3300,0,0,0,0,0,0,11,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,6,10,89,0,0,89,91,0,0,6400,3200,29,0,2,0,0,0,11,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,5,15,46,0,0,46,44,0,0,2800,1400,11,0,2,0,0,0,4,0,0,1375.71,74.625,152.857,1,1,1,0,0,0
0,4,5,43,0,0,43,44,0,0,2800,1400,8,0,5,0,0,0,7,0,0,1375.71,74.625,152.857,1,1,1,0,0,0
0,3,1,90,0,0,90,89,0,0,6400,3200,27,0,4,0,0,0,10,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,2,10,95,0,0,95,90,0,0,7800,3900,32,0,5,0,0,0,5,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,1,5,87,0,0,87,89,0,0,4600,2300,19,0,4,0,0,0,13,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
1,26,0,827,0,0,827,793,0,30758,51600,25800,0,0,0,0,0,0,86,0,0,59163.2,1388.15,2882.69,1,0.160484,0.24263,0,0,0
1,25,1,84,0,0,84,86,0,2242,5600,2800,26,0,2,0,0,0,8,0,0,2238.16,57.7575,171.685,1,0.074625,0.109183,0,0,0
1,24,10,74,0,0,74,87,0,2844,6200,3100,27,0,4,0,0,0,9,0,0,1638.16,72.7575,154.685,1,0.106607,0.218367,0,0,0
1,23,14,192,0,0,192,148,0,5639,10800,5400,50,0,8,0,0,0,16,0,0,16790.8,352.787,765.423,1,0.219485,0.246543,0,0,0
1,22,0,257,0,0,257,308,0,11546,20200,10100,0,0,0,0,0,0,25,0,0,33381.6,684.575,1483.85,1,0.207292,0.305713,0,0,0
1,21,0,284,0,0,284,296,0,12156,20000,10000,0,0,0,0,0,0,38,0,0,32781.6,719.575,1438.85,1,0.226136,0.318451,0,0,0
1,20,11,86,0,0,86,87,0,2041,4600,2300,16,0,3,0,0,0,13,0,0,2438.16,66.7575,163.685,1,0.0678409,0.169841,0,0,0
1,19,8,83,0,0,83,79,0,2240,4400,2200,20,0,3,0,0,0,9,0,0,2238.16,83.7575,147.685,1,0.074625,0.138961,0,0,0
1,18,10,106,0,0,106,87,0,3052,7000,3500,33,0,6,0,0,0,19,0,0,1438.16,66.7575,152.685,1,0.24875,0.138961,0,0,0
1,17,6,239,0,0,239,158,0,5264,17400,8700,87,0,20,0,0,0,26,0,0,17190.8,389.787,703.423,1,0.24875,0.318451,0,0,0
1,16,0,265,0,0,265,307,0,11250,18000,9000,0,0,0,0,0,0,32,0,0,33581.6,788.575,1475.85,1,0.207292,0.305713,0,0,0
1,15,5,70,0,0,70,76,0,2253,4800,2400,20,0,4,0,0,0,10,0,0,2238.16,63.7575,154.685,1,0.0621875,0.138961,0,0,0
1,14,0,51,0,0,51,86,0,2253,3000,1500,0,0,0,0,0,0,7,0,0,2238.16,76.7575,141.685,1,0.074625,0.169841,0,0,0
1,13,9,82,0,0,82,88,0,2259,6200,3100,30,0,1,0,0,0,8,0,0,2238.16,56.7575,155.685,1,0.0932812,0.117582,0,0,0
1,12,16,100,0,0,100,110,0,2262,7400,3700,36,0,7,0,0,0,18,0,0,2238.16,83.7575,125.685,1,0.0533036,0.127381,0,0,0
1,11,9,150,0,0,150,144,0,6329,10400,5200,55,0,7,0,0,0,17,0,0,16190.8,359.787,668.423,1,0.219485,0.382142,0,0,0
1,10,10,51,0,0,51,40,0,831,3400,1700,17,0,1,0,0,0,3,0,0,1419.08,45.3788,59.3424,1,0.124375,0.0955354,0,0,0
1,9,10,82,0,0,82,78,0,1267,5000,2500,20,0,6,0,0,0,8,0,0,3238.16,68.7575,135.685,1,0.074625,0.191071,0,0,0
1,8,10,80,0,0,80,88,0,2451,4800,2400,22,0,4,0,0,0,7,0,0,2038.16,91.7575,128.685,1,0.0829167,0.138961,0,0,0
1,7,0,57,0,0,57,85,0,2418,4400,2200,0,0,0,0,0,0,5,0,0,2038.16,81.7575,171.685,1,0.0574038,0.152857,0,0,0
1,6,10,94,0,0,94,88,0,2056,6400,3200,27,0,6,0,0,0,21,0,0,2438.16,84.7575,130.685,1,0.0829167,0.101904,0,0,0
1,5,17,46,0,0,46,43,0,1215,2800,1400,13,0,1,0,0,0,5,0,0,1019.08,46.3788,74.3424,1,0.0621875,0.254761,0,0,0
1,4,5,46,0,0,46,41,0,1440,3000,1500,11,0,3,0,0,0,2,0,0,819.081,27.3788,68.3424,1,0.186562,0.127381,0,0,0
1,3,1,79,0,0,79,77,0,2689,6400,3200,28,0,3,0,0,0,10,0,0,1838.16,48.7575,133.685,1,0.074625,0.138961,0,0,0
1,2,10,80,0,0,80,77,0,3230,5200,2600,23,0,3,0,0,0,13,0,0,1279.16,82.7575,117.685,0.98265,0.0574038,0.127381,0,0,0
1,1,5,77,0,0,77,69,0,1839,4800,2400,19,0,6,0,0,0,9,0,0,2638.16,88.7575,143.685,1,0.14925,0.138961,0,0,0
2,26,0,741,0,0,741,708,0,47524,49600,24800,0,0,0,0,0,0,86,0,0,70360.3,1778.6,3336.92,1,0.0867594,0.142708,0,0,0
2,25,1,76,0,0,76,74,0,3616,4800,2400,20,0,4,0,0,0,13,0,0,2268.02,83.5299,182.446,1,0.0360984,0.0660326,0,0,0
2,24,10,76,0,0,76,80,0,4416,3600,1800,17,0,1,0,0,0,8,0,0,1484.02,90.5299,159.446,1,0.0404208,0.0552445,0,0,0
2,23,15,159,0,0,159,119,0,9266,13000,6500,60,0,9,0,0,0,26,0,0,20266.1,397.65,820.231,1,0.0979965,0.182244,0,0,0
2,22,0,187,0,0,187,278,0,18737,8200,4100,0,0,0,0,0,0,18,0,0,40135.2,900.299,1727.46,1,0.103723,0.20052,0,0,0
2,21,0,206,0,0,206,244,0,19161,13800,6900,0,0,0,0,0,0,38,0,0,39832.2,900.299,1606.46,1,0.112434,0.189322,0,0,0
2,20,11,76,0,0,76,78,0,3063,5600,2800,23,0,6,0,0,0,10,0,0,2816.02,95.5299,175.446,1,0.0556313,0.068202,0,0,0
2,19,9,82,0,0,82,75,0,3847,6200,3100,29,0,2,0,0,0,8,0,0,2044.02,85.5299,173.446,1,0.0697979,0.0923029,0,0,0
2,18,10,126,0,0,126,90,0,4438,8800,4400,46,0,8,0,0,0,23,0,0,1464.02,80.5299,167.446,0.898852,0.0370875,0.0424124,0,0,0
2,17,6,256,0,0,256,166,0,11685,14600,7300,105,0,18,0,0,0,26,0,0,17816.1,438.65,810.231,1,0.0812057,0.103445,0,0,0
2,16,0,198,0,0,198,250,0,17444,14200,7100,0,0,0,0,0,0,16,0,0,41568.2,885.299,1602.46,1,0.146032,0.19419,0,0,0
2,15,5,61,0,0,61,69,0,3262,4600,2300,20,0,3,0,0,0,2,0,0,2649.02,86.5299,152.446,1,0.0398484,0.0703112,0,0,0
2,14,0,35,0,0,35,78,0,2638,2600,1300,0,0,0,0,0,0,2,0,0,3233.02,88.5299,190.446,1,0.0959469,0.0787137,0,0,0
