Rel_ID,Rel_start_time,Rel_scheduled_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Is_rel_outside_PFA,Original_node_ID,Current_node_ID,A_ID,A_is_infected,A_gender,A_age,A_previous_num_coital_acts,A_total_num_active_rels,A_num_active_TRANSITORY_rels,A_num_active_INFORMAL_rels,A_num_active_MARITAL_rels,A_num_active_COMMERCIAL_rels,A_num_lifetime_rels,A_num_rels_last_6_mo,A_extra_relational_bitmask,A_is_circumcised,A_has_STI_coinfection,A_is_superspreader,B_ID,B_is_infected,B_gender,B_age,B_previous_num_coital_acts,B_total_num_active_rels,B_num_active_TRANSITORY_rels,B_num_active_INFORMAL_rels,B_num_active_MARITAL_rels,B_num_active_COMMERCIAL_rels,B_num_lifetime_rels,B_num_rels_last_6_mo,B_extra_relational_bitmask,B_is_circumcised,B_has_STI_coinfection,B_is_superspreader
28,343,889.628,0,F,1,1,21,0,0,26.1425,0,1,1,0,0,0,1,1,0,0,0,0,93,0,1,31.2659,93,1,1,0,0,0,2,1,0,0,0,0
29,350,932.219,0,F,1,1,15,0,0,21.6494,72,1,1,0,0,0,2,1,0,0,0,0,43,0,1,25.1546,0,1,1,0,0,0,1,1,0,0,0,0
30,350,804.106,1,F,1,1,17,0,0,34.309,93,1,0,1,0,0,2,1,0,0,0,0,14,0,1,29.3868,63,1,0,1,0,0,2,1,0,0,0,0
31,378,1286.05,1,F,1,1,71,0,0,51.7568,0,1,0,1,0,0,1,1,0,0,0,0,39,0,1,29.0536,62,1,0,1,0,0,2,1,0,0,0,0
32,385,573.964,0,F,1,1,10,0,0,38.7862,0,1,1,0,0,0,1,1,0,0,0,0,99,0,1,28.9286,33,1,1,0,0,0,2,1,0,0,0,0
33,385,535.658,0,F,1,1,47,0,0,36.9778,0,1,1,0,0,0,1,1,0,0,0,0,60,0,1,19.5205,0,1,1,0,0,0,1,1,0,0,0,0
34,385,674.671,1,F,1,1,50,0,0,40.2577,52,1,0,1,0,0,2,2,0,0,0,0,84,0,1,26.807,0,1,0,1,0,0,1,1,0,0,0,0
35,392,1351.93,1,F,1,1,91,0,0,43.6294,0,1,0,1,0,0,1,1,0,0,0,0,36,0,1,23.9785,61,1,0,1,0,0,2,1,0,0,0,0
36,413,813.684,1,F,1,1,98,0,0,25.1752,55,1,0,1,0,0,2,1,0,0,0,0,66,0,1,26.3783,31,1,0,1,0,0,2,1,0,0,0,0
37,427,481.995,0,F,1,1,52,0,0,24.4282,72,1,1,0,0,0,3,1,0,0,0,0,69,0,1,20.5238,0,1,1,0,0,0,1,1,0,0,0,0
38,448,535.634,0,F,1,1,51,0,0,47.3736,0,1,1,0,0,0,1,1,0,0,0,0,77,0,1,17.7335,0,1,1,0,0,0,1,1,0,0,0,0
39,511,953.206,0,F,1,1,2,0,0,48.76,26,1,1,0,0,0,2,1,0,0,0,0,13,0,1,41.8999,80,1,1,0,0,0,2,1,0,0,0,0
40,525,658.665,0,F,1,1,19,0,0,49.5287,0,1,1,0,0,0,1,1,0,0,0,0,46,0,1,44.4902,0,1,1,0,0,0,1,1,0,0,0,0
41,532,1616.5,0,F,1,1,78,0,0,25.5575,0,1,1,0,0,0,1,1,0,0,0,0,58,0,1,23.3652,0,1,1,0,0,0,1,1,0,0,0,0
42,553,838.235,0,F,1,1,63,0,0,19.6296,80,1,1,0,0,0,2,1,0,0,0,0,96,0,1,29.0505,70,1,1,0,0,0,2,1,0,0,0,0
43,574,1377.21,0,F,1,1,45,0,0,39.6184,0,1,1,0,0,0,1,1,0,0,0,0,37,0,1,15.9384,0,1,1,0,0,0,1,1,0,0,0,0
44,588,739.713,0,F,1,1,28,0,0,38.5453,33,1,1,0,0,0,2,1,0,0,0,0,95,0,1,15.5941,0,1,1,0,0,0,1,1,0,0,0,0
45,588,1063.88,1,F,1,1,32,0,0,53.3649,0,1,0,1,0,0,1,1,0,0,0,0,67,0,1,20.4727,72,1,0,1,0,0,2,1,0,0,0,0
46,665,693.134,0,F,1,1,26,0,0,17.6136,0,1,1,0,0,0,1,1,0,0,0,0,69,0,1,21.1759,15,1,1,0,0,0,2,1,0,0,0,0
47,665,835.501,0,F,1,1,80,0,0,51.206,17,1,1,0,0,0,2,1,0,0,0,0,90,0,1,35.4081,97,1,1,0,0,0,2,1,0,0,0,0
48,665,974.33,1,F,1,1,56,0,0,28.799,61,1,0,1,0,0,2,1,0,0,0,0,82,0,1,23.6251,0,1,0,1,0,0,1,1,0,0,0,0
49,714,778.909,0,F,1,1,62,0,0,25.4801,97,1,1,0,0,0,2,1,0,0,0,0,6,0,1,19.1951,0,1,1,0,0,0,1,1,0,0,0,0
50,728,1558.8,0,F,1,1,50,0,0,41.1974,173,1,1,0,0,0,3,1,0,0,0,0,60,0,1,20.4602,46,1,1,0,0,0,2,1,0,0,0,0
51,812,1633.68,1,F,1,1,10,0,0,39.956,68,1,0,1,0,0,2,1,0,0,0,0,87,0,1,47.4384,128,1,0,1,0,0,2,1,0,0,0,0
52,826,1412.09,0,F,1,1,19,0,0,50.3534,51,1,1,0,0,0,2,1,0,0,0,0,49,0,1,21.9556,79,1,1,0,0,0,2,1,0,0,0,0
53,826,914.164,0,F,1,1,26,0,0,18.0547,11,1,1,0,0,0,2,2,0,0,0,0,7,0,1,44.8295,0,1,1,0,0,0,1,1,0,0,0,0
