Time,NodeID,Genome,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_IMMATURE,STATE_LARVA,STATE_EGG
20,340461476,X-a0:X-a0,11549,0,0,11549,11714,83850,352700
20,340461476,X-a0:X-a1,11606,0,0,11606,11342,82760,350200
20,340461476,X-a1:X-a0,11644,0,0,11644,11301,83648,353050
20,340461476,X-a1:X-a1,11696,0,0,11696,11769,85853,355250
21,340461476,X-a0:X-a0,12675,0,0,12675,11603,87345,152250
21,340461476,X-a0:X-a1,12696,0,0,12696,11284,86164,148750
21,340461476,X-a1:X-a0,12776,0,0,12776,11083,87340,149000
21,340461476,X-a1:X-a1,12806,0,0,12806,11743,89034,146800
22,340461476,X-a0:X-a0,13673,0,0,13673,11566,88035,165600
22,340461476,X-a0:X-a1,13662,0,0,13662,11006,86727,167100
22,340461476,X-a1:X-a0,13646,0,0,13646,11106,87619,172750
22,340461476,X-a1:X-a1,13799,0,0,13799,11653,88806,171650
23,340461476,X-a0:X-a0,14681,0,0,14681,11243,88491,408125
23,340461476,X-a0:X-a1,14482,0,0,14482,11011,87415,414725
23,340461476,X-a1:X-a0,14475,0,0,14475,11054,88710,412575
23,340461476,X-a1:X-a1,14675,0,0,14675,11639,89769,414175
24,340461476,X-a0:X-a0,15441,0,0,15441,13678,86607,264975
24,340461476,X-a0:X-a1,15191,0,0,15191,13568,85534,265225
24,340461476,X-a1:X-a0,15241,0,0,15241,13431,86960,263525
24,340461476,X-a1:X-a1,15458,0,0,15458,14341,87498,260475
25,340461476,X-a0:X-a0,16153,0,0,16153,14114,89270,273700
25,340461476,X-a0:X-a1,15780,0,0,15780,13980,88441,268900
25,340461476,X-a1:X-a0,15762,0,0,15762,14184,89284,275200
25,340461476,X-a1:X-a1,16286,0,0,16286,14773,89471,279400
26,340461476,X-a0:X-a0,16755,0,21,16734,14900,88986,448125
26,340461476,X-a0:X-a1,16348,0,21,16327,14873,88093,454675
26,340461476,X-a1:X-a0,16332,0,16,16316,14834,89428,446925
26,340461476,X-a1:X-a1,16876,0,14,16862,15337,89693,452375
27,340461476,X-a0:X-a0,17107,0,35,17072,15704,89482,346125
27,340461476,X-a0:X-a1,16881,0,35,16846,15393,88810,344375
27,340461476,X-a1:X-a0,16804,0,27,16777,15467,89665,341525
27,340461476,X-a1:X-a1,17415,0,29,17386,15916,90136,336275
28,340461476,X-a0:X-a0,19197,0,48,19149,14452,90110,341900
28,340461476,X-a0:X-a1,19056,0,44,19012,13993,89767,334400
28,340461476,X-a1:X-a0,19041,0,35,19006,14609,89776,348050
28,340461476,X-a1:X-a1,19782,0,47,19735,14671,90161,349050
29,340461476,X-a0:X-a0,19867,0,61,19806,14602,90353,471010
29,340461476,X-a0:X-a1,19774,0,58,19716,14263,89639,472740
29,340461476,X-a1:X-a0,19933,0,56,19877,14251,90419,475040
29,340461476,X-a1:X-a1,20597,0,56,20541,14734,90596,476690
30,340461476,X-a0:X-a0,20855,0,74,20781,14421,90384,387125
30,340461476,X-a0:X-a1,20691,0,63,20628,14116,90182,396315
30,340461476,X-a1:X-a0,20757,0,67,20690,14016,90917,395495
30,340461476,X-a1:X-a1,21479,0,63,21416,14394,91188,396785
31,340461476,X-a0:X-a0,21673,0,87,21586,13478,91247,391000
31,340461476,X-a0:X-a1,21360,0,66,21294,13330,91329,383900
31,340461476,X-a1:X-a0,21385,0,70,21315,13531,91452,398010
31,340461476,X-a1:X-a1,22237,0,79,22158,13864,91783,400050
32,340461476,X-a0:X-a0,22232,0,101,22131,14366,89826,590555
32,340461476,X-a0:X-a1,21829,0,86,21743,14187,89818,600095
32,340461476,X-a1:X-a0,22244,0,83,22161,14059,90537,609455
32,340461476,X-a1:X-a1,22918,0,88,22830,14493,90797,616355
33,340461476,X-a0:X-a0,22841,0,106,22735,14200,90875,459325
33,340461476,X-a0:X-a1,22433,0,87,22346,14066,91148,466545
33,340461476,X-a1:X-a0,22525,0,99,22426,14078,91800,463855
33,340461476,X-a1:X-a1,23392,0,93,23299,14092,92398,470135
34,340461476,X-a0:X-a0,23439,11,106,23322,14024,90702,483435
34,340461476,X-a0:X-a1,23007,12,83,22912,13929,91327,480075
34,340461476,X-a1:X-a0,22869,9,94,22766,14535,91517,477755
34,340461476,X-a1:X-a1,23717,8,94,23615,14326,92334,477835
35,340461476,X-a0:X-a0,23355,16,107,23232,14602,90952,618110
35,340461476,X-a0:X-a1,23008,14,99,22895,14408,91503,619270
35,340461476,X-a1:X-a0,23141,16,107,23018,14742,91520,627270
35,340461476,X-a1:X-a1,23742,15,106,23621,14582,92421,641610
36,340461476,X-a0:X-a0,24369,21,109,24239,14947,90173,518130
36,340461476,X-a0:X-a1,23849,19,99,23731,14714,90794,528150
36,340461476,X-a1:X-a0,24070,22,105,23943,15111,90815,527050
36,340461476,X-a1:X-a1,24661,20,116,24525,14912,91956,534350
37,340461476,X-a0:X-a0,24695,30,102,24563,15159,90727,540130
37,340461476,X-a0:X-a1,24195,28,104,24063,14773,91997,533550
37,340461476,X-a1:X-a0,24368,31,104,24233,15267,91745,531980
37,340461476,X-a1:X-a1,24858,23,121,24714,15227,92808,530400
38,340461476,X-a0:X-a0,24850,39,100,24711,15549,90632,638760
38,340461476,X-a0:X-a1,24402,30,105,24267,15291,91819,638540
38,340461476,X-a1:X-a0,24825,33,99,24693,15271,91562,641230
38,340461476,X-a1:X-a1,25229,24,124,25081,15401,92540,648990
39,340461476,X-a0:X-a0,25178,45,89,25044,15541,90960,523625
39,340461476,X-a0:X-a1,24791,29,112,24650,15528,91733,538015
39,340461476,X-a1:X-a0,25207,35,108,25064,15276,91796,539985
39,340461476,X-a1:X-a1,25486,34,130,25322,15482,92902,549615
40,340461476,X-a0:X-a0,26024,50,96,25878,15069,90603,605735
40,340461476,X-a0:X-a1,25651,40,93,25518,14961,91849,606075
40,340461476,X-a1:X-a0,25958,35,111,25812,14921,91707,597945
40,340461476,X-a1:X-a1,26362,38,126,26198,15113,93079,604165
41,340461476,X-a0:X-a0,26296,51,99,26146,15029,91192,640075
41,340461476,X-a0:X-a1,25852,43,100,25709,15249,91964,652155
41,340461476,X-a1:X-a0,26185,34,120,26031,15020,91780,646525
41,340461476,X-a1:X-a1,26613,45,126,26442,15221,92997,663185
42,340461476,X-a0:X-a0,26679,54,98,26527,14794,91165,561175
42,340461476,X-a0:X-a1,26339,42,114,26183,15091,92166,575655
42,340461476,X-a1:X-a0,26400,41,125,26234,14987,91856,572075
42,340461476,X-a1:X-a1,26954,46,125,26783,15180,93320,586175
43,340461476,X-a0:X-a0,26892,58,102,26732,14535,91454,626245
43,340461476,X-a0:X-a1,26732,45,111,26576,14630,92379,628535
43,340461476,X-a1:X-a0,26601,47,125,26429,14871,91984,615695
43,340461476,X-a1:X-a1,27223,56,119,27048,14975,93486,630325
