Time,NodeID,Genome,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_IMMATURE,STATE_LARVA,STATE_EGG,AvgOocystDurationDays,AvgNumSporozoitesPerVector,NumVectorsWithSporozoites_AA,NumVectorsWithSporozoites_GG,NumVectorsWithSporozoites_Other
17,340461476,X-a2:X-a2,226,0,0,226,688,14087,7525,0,0,0,0,0
18,340461476,X-a1:X-a1,196,0,0,196,932,14378,6350,0,0,0,0,0
18,340461476,X-a1:X-a2,199,0,0,199,966,14506,6350,0,0,0,0,0
18,340461476,X-a2:X-a1,179,0,0,179,937,14169,6250,0,0,0,0,0
18,340461476,X-a2:X-a2,202,0,0,202,922,14324,7150,0,0,0,0,0
19,340461476,X-a1:X-a1,168,0,0,168,1173,14749,5975,0,0,0,0,0
19,340461476,X-a1:X-a2,168,0,0,168,1219,14862,6225,0,0,0,0,0
19,340461476,X-a2:X-a1,162,0,0,162,1169,14524,5775,0,0,0,0,0
19,340461476,X-a2:X-a2,180,0,0,180,1130,14982,6225,0,0,0,0,0
20,340461476,X-a1:X-a1,488,0,0,488,1010,15078,6375,0,0,0,0,0
20,340461476,X-a1:X-a2,512,0,0,512,1017,15342,5275,0,0,0,0,0
20,340461476,X-a2:X-a1,500,0,0,500,1026,14902,5975,0,0,0,0,0
20,340461476,X-a2:X-a2,474,0,0,474,1024,15420,5275,0,0,0,0,0
21,340461476,X-a1:X-a1,573,0,0,573,1024,15856,4175,0,0,0,0,0
21,340461476,X-a1:X-a2,593,0,0,593,1093,15536,3675,0,0,0,0,0
21,340461476,X-a2:X-a1,591,0,0,591,1087,15429,4075,0,0,0,0,0
21,340461476,X-a2:X-a2,562,0,0,562,1064,15683,4675,0,0,0,0,0
22,340461476,X-a1:X-a1,692,0,0,692,1092,16256,3900,0,0,0,0,0
22,340461476,X-a1:X-a2,711,0,0,711,1109,15688,4150,0,0,0,0,0
22,340461476,X-a2:X-a1,699,0,0,699,1148,15736,3100,0,0,0,0,0
22,340461476,X-a2:X-a2,676,0,0,676,1117,16349,3850,0,0,0,0,0
23,340461476,X-a1:X-a1,824,0,0,824,1121,16661,4350,0,0,0,0,0
23,340461476,X-a1:X-a2,858,0,0,858,1104,16289,4050,0,0,0,0,0
23,340461476,X-a2:X-a1,821,0,0,821,1184,15764,4150,0,0,0,0,0
23,340461476,X-a2:X-a2,800,0,0,800,1160,16762,3650,0,0,0,0,0
24,340461476,X-a1:X-a1,890,0,0,890,1155,17210,24475,0,0,0,0,0
24,340461476,X-a1:X-a2,934,0,0,934,1202,16693,23475,0,0,0,0,0
24,340461476,X-a2:X-a1,929,0,0,929,1167,16275,24725,0,0,0,0,0
24,340461476,X-a2:X-a2,890,0,0,890,1172,16853,23525,0,0,0,0,0
25,340461476,X-a1:X-a1,951,0,0,951,1192,17467,12850,0,0,0,0,0
25,340461476,X-a1:X-a2,1076,0,0,1076,1215,16911,13450,0,0,0,0,0
25,340461476,X-a2:X-a1,1029,0,0,1029,1125,16638,11300,0,0,0,0,0
25,340461476,X-a2:X-a2,967,0,0,967,1209,17088,12600,0,0,0,0,0
26,340461476,X-a1:X-a1,1042,0,0,1042,1157,17899,14950,0,0,0,0,0
26,340461476,X-a1:X-a2,1136,0,0,1136,1236,17441,12900,0,0,0,0,0
26,340461476,X-a2:X-a1,1117,0,0,1117,1157,16810,15100,0,0,0,0,0
26,340461476,X-a2:X-a2,1077,0,0,1077,1185,17485,12950,0,0,0,0,0
27,340461476,X-a1:X-a1,1133,0,0,1133,1181,18347,28425,0,0,0,0,0
27,340461476,X-a1:X-a2,1200,0,0,1200,1286,17602,27525,0,0,0,0,0
27,340461476,X-a2:X-a1,1188,0,0,1188,1190,17406,29175,0,0,0,0,0
27,340461476,X-a2:X-a2,1172,0,0,1172,1186,17530,27675,0,0,0,0,0
28,340461476,X-a1:X-a1,1201,0,0,1201,1228,18622,21125,0,0,0,0,0
28,340461476,X-a1:X-a2,1295,0,0,1295,1296,17712,20925,0,0,0,0,0
28,340461476,X-a2:X-a1,1241,0,0,1241,1229,17650,19175,0,0,0,0,0
28,340461476,X-a2:X-a2,1252,0,0,1252,1283,17746,20775,0,0,0,0,0
29,340461476,X-a1:X-a1,1261,0,0,1261,1242,18958,23000,0,0,0,0,0
29,340461476,X-a1:X-a2,1374,0,0,1374,1332,18070,20950,0,0,0,0,0
29,340461476,X-a2:X-a1,1297,0,0,1297,1321,17829,24250,0,0,0,0,0
29,340461476,X-a2:X-a2,1347,0,0,1347,1301,18127,21800,0,0,0,0,0
30,340461476,X-a1:X-a1,1291,0,0,1291,1320,19261,33075,0,0,0,0,0
30,340461476,X-a1:X-a2,1415,0,0,1415,1447,18122,30175,0,0,0,0,0
30,340461476,X-a2:X-a1,1384,0,0,1384,1318,18307,35075,0,0,0,0,0
30,340461476,X-a2:X-a2,1382,0,0,1382,1332,18306,33175,0,0,0,0,0
31,340461476,X-a1:X-a1,1383,0,0,1383,1380,19586,26800,0,0,0,0,0
31,340461476,X-a1:X-a2,1528,0,0,1528,1430,18317,26500,0,0,0,0,0
31,340461476,X-a2:X-a1,1441,0,0,1441,1351,18870,26650,0,0,0,0,0
31,340461476,X-a2:X-a2,1448,0,0,1448,1429,18598,28350,0,0,0,0,0
32,340461476,X-a1:X-a1,1439,0,0,1439,1496,19611,30475,0,0,0,0,0
32,340461476,X-a1:X-a2,1583,0,0,1583,1577,18406,28825,0,0,0,0,0
32,340461476,X-a2:X-a1,1520,0,0,1520,1465,18943,30375,0,0,0,0,0
32,340461476,X-a2:X-a2,1578,0,0,1578,1579,18736,29425,0,0,0,0,0
