node_id,acquireTime,acquireIndividualId,acquireIndividualAgeDays,acquireIndividualHasFever,acquireInfectionIds,concurrentInfectionIds,vectorId,transmitTime,transmitIndividualId,transmitInfectionIds,transmitGametocyteDensities
2,222,93,18724.8,0,"1358","404,536,560,574,1072,1210,1234,1298,1322",185223,198,99,"66,82,208,282,428,496,522,566,582,620","91.0741,95.0754,323.118,539.57,1066.66,1174.59,727.944,157.784,75.5444,0.0011134"
2,222,63,2571.19,0,"1360","406,502,538,576,608,1116,1150,1184,1212",178451,189,101,"22,98,162,190,226,260,356,382,480,500","358.625,1090.79,1306.82,808.595,1103.54,422.003,62.8707,50.3036,4.24982,0.125104"
1,223,50,3474.07,0,"1185","281,367,413,1051,1069,1099,1139",188794,199,64,"39,109,231,255,341,359,391,409,477,491","129.288,289.271,1597.4,1554.14,881.445,3.30147,5.95187,10.9568,0.0052612,0.0130762"
1,223,24,5331.52,0,"1187","383,441,513,545,1085,1101,1123,1143,1159",192848,202,64,"39,109,231,255,341,359,391,409,477,491","56.3758,127.121,782.077,1076.66,841.546,57.3869,21.2626,473.101,0.110501,0.0474836"
1,223,84,21387.1,0,"1189","167,269,335,443,473,519,541,567,1089",186845,202,65,"86,152,242,187,201,412,460,506,578,600","29.2146,27.638,133.901,15.3487,343.229,185.389,25.3791,182.252,533.633,36.1388"
1,223,76,34208,0,"1191","211,233,259,325,345,363,393,453,1153",195616,205,36,"49,59,97,127,215,265,333,379,401,439","14.8652,15.3524,31.8631,50.7257,49.6041,32.0124,60.3013,1338.76,70.0593,43.6401"
1,223,56,8284.25,0,"1193","143,197,279,309,1047,1065,1095,1117",189300,202,28,"61,99,177,193,410,313,329,395,415,461","59.818,96.828,250.791,384.578,186.933,583.115,74.1548,312.54,459.802,6.45337"
1,223,86,8320.12,0,"1195","271,337,403,535,1061,1073,1238,1274,1137",189526,199,42,"171,225,387,421,503","1249.7,2349.87,100.85,72.4656,0.0116564"
1,223,92,2292.26,0,"1197","221,317,385,445,489,521,1071,1236,1181",185760,199,24,"194,214,185,245,267,289,383,441","55.948,238.761,441.718,48.3491,213.478,1278.56,159.217,0.122256"
1,223,38,3570.98,0,"1199","179,203,219,351,429,1059,1087,1105,1183",195456,205,98,"33,129,191,217,287,305,349,381,511,517","22.3019,27.1763,234.46,290.336,484.43,244.605,685.672,657.565,0.60899,0.452702"
1,223,35,22479.2,0,"1201","336,444,490,518,1100,1162,1282,1308,1332",189596,202,86,"53,63,133,149,223,271,337,353,403,535","52.8946,47.2172,114.594,201.574,163.735,1160.11,693.666,72.6192,615.932,0.0082232"
2,223,73,7243.09,0,"1362","440,612,1002,1038,1074,1120,1216,1300",189815,199,73,"24,72,138,196,266,326,362,440,510,612","30.8847,45.6252,64.7623,272.285,17.3659,16.6611,297.126,493.724,42.0496,0.00280861"
2,223,65,1150.35,0,"1364","412,506,578,600,1040,1076,1122,1326",176459,187,75,"96,186,220,320,380,476,528","2122.26,970.6,1184.34,142.792,8.45818,0.0882682,0.0019128"
