Time,NodeID,Genome,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,MaleNumDied,MaleAvgAgeAtDeath
14,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
14,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
14,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
14,1,Other,1259,0,584471,35300,240,17.0125
15,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
15,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
15,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
15,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
15,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
15,1,Other,1055,0,564078,18000,204,17.951
16,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
16,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
16,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
16,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
16,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
16,1,Other,878,0,528059,17800,177,18.9774
17,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
17,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
17,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
17,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
17,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
17,1,Other,711,0,495501,16400,167,19.9401
18,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
18,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
18,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
18,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
18,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
18,1,Other,582,34869,429923,10000,129,21.062
19,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
19,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
19,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
19,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
19,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
19,1,Other,479,46498,384403,8700,103,21.8835
20,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
20,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
20,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
20,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
20,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
20,1,Other,383,59076,339512,7600,96,22.9583
21,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
21,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
21,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
21,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
21,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
21,1,Other,307,70206,297950,5300,76,23.9211
22,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
22,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
22,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
22,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
22,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
22,1,Other,23596,57498,257809,3800,67,24.9104
23,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
23,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
23,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
23,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
23,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
23,1,Other,31121,59110,219859,3300,2412,1.49627
24,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
24,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
24,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
24,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
24,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
24,1,Other,39185,59574,184918,2500,3309,2.01723
25,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
