Time,Year,Node_ID,Event_Name,Individual_ID,Age,Gender,Infected,Infectiousness
14539.2,2000.33,1,PostDebut,14591,6752.49,M,0,0
14539.2,2000.33,1,PostDebut,12252,10615.4,M,0,0
14539.2,2000.33,1,PostDebut,13858,7969.15,M,0,0
14539.2,2000.33,1,PostDebut,13492,8607.9,M,0,0
14539.2,2000.33,1,PostDebut,106,19706.1,F,0,0
14539.2,2000.33,1,PreDebut,15483,5231.67,F,0,0
14539.2,2000.33,1,PreDebut,16927,2798.33,F,0,0
14539.2,2000.33,1,PostDebut,109,18778.9,F,0,0
14539.2,2000.33,1,PostDebut,110,15682.5,F,0,0
14539.2,2000.33,1,PostDebut,12717,9855,F,0,0
14539.2,2000.33,1,PostDebut,112,15917.4,F,0,0
14539.2,2000.33,1,PostDebut,113,15153.3,F,0,0
14539.2,2000.33,1,PostDebut,14590,6752.49,F,0,0
14539.2,2000.33,1,PostDebut,115,14816.9,M,0,0
14539.2,2000.33,1,PostDebut,116,14616.8,M,0,0
14539.2,2000.33,1,PreDebut,15501,5201.25,M,0,0
14539.2,2000.33,1,PostDebut,118,16109.3,M,0,0
14539.2,2000.33,1,PostDebut,13454,8668.74,F,0,0
14539.2,2000.33,1,PostDebut,120,18637.6,F,0,0
14539.2,2000.33,1,PostDebut,121,18553.7,M,0,0
14539.2,2000.33,1,PostDebut,122,17996.8,F,0,0
14539.2,2000.33,1,PostDebut,11533,11832.1,M,0,0
14539.2,2000.33,1,PreDebut,16774,3072.08,M,0,0
14539.2,2000.33,1,PostDebut,13510,8577.49,M,0,0
14539.2,2000.33,1,PostDebut,14717,6539.57,M,0,0
14539.2,2000.33,1,PostDebut,11003,12775,F,0,0
14539.2,2000.33,1,PostDebut,128,16260.5,M,0,0
14539.2,2000.33,1,PreDebut,16815,3011.25,M,0,0
14539.2,2000.33,1,PostDebut,10510,13626.7,M,0,0
14539.2,2000.33,1,PostDebut,14043,7664.99,F,0,0
14539.2,2000.33,1,PostDebut,10085,14387.1,M,0,0
14539.2,2000.33,1,PostDebut,11733,11527.9,F,0,0
14539.2,2000.33,1,PostDebut,134,19616.3,M,0,0
14539.2,2000.33,1,PreDebut,16382,3710.84,F,0,0
14539.2,2000.33,1,PostDebut,14514,6874.16,F,0,0
14539.2,2000.33,1,PostDebut,12952,9490,F,0,0
14539.2,2000.33,1,PostDebut,10848,13048.8,F,0,0
14539.2,2000.33,1,PostDebut,139,16060.4,M,0,0
14539.2,2000.33,1,PreDebut,17324,2129.17,M,0,0
14539.2,2000.33,1,PostDebut,141,17771.6,F,0,0
14539.2,2000.33,1,PostDebut,142,19703.4,M,0,0
14539.2,2000.33,1,PostDebut,14952,6144.16,F,0,0
14539.2,2000.33,1,PostDebut,144,16604.9,M,0,0
14539.2,2000.33,1,PostDebut,10333,13930.9,F,0,0
14539.2,2000.33,1,PostDebut,146,16476.8,F,0,0
14539.2,2000.33,1,PostDebut,10124,14326.3,F,0,0
14539.2,2000.33,1,PreDebut,17471,1916.25,M,0,0
14539.2,2000.33,1,PreDebut,16678,3254.59,M,0,0
14539.2,2000.33,1,PostDebut,11802,11406.3,F,0,0
14539.2,2000.33,1,PreDebut,16741,3132.92,M,0,0
14539.2,2000.33,1,PostDebut,152,15693.1,M,0,0
14539.2,2000.33,1,PostDebut,13242,9033.74,F,0,0
14539.2,2000.33,1,PostDebut,11831,11345.4,F,0,0
14539.2,2000.33,1,PostDebut,11973,11102.1,F,0,0
14539.2,2000.33,1,PostDebut,14368,7117.49,M,0,0
14539.2,2000.33,1,PostDebut,157,15858.2,F,0,0
14539.2,2000.33,1,PostDebut,14118,7543.32,M,0,0
14539.2,2000.33,1,PreDebut,16797,3041.67,M,0,0
14539.2,2000.33,1,PostDebut,12146,10797.9,F,0,0
14539.2,2000.33,1,PostDebut,161,18402.9,F,0,0
14539.2,2000.33,1,PostDebut,162,19743.9,M,0,0
14539.2,2000.33,1,PreDebut,17179,2372.5,M,0,0
14539.2,2000.33,1,PostDebut,14700,6569.99,M,0,0
14539.2,2000.33,1,PreDebut,15936,4440.84,M,0,0
14539.2,2000.33,1,PostDebut,11949,11132.5,F,0,0
14539.2,2000.33,1,PreDebut,18377,547.5,M,0,0
14539.2,2000.33,1,PostDebut,14682,6600.41,M,0,0
14539.2,2000.33,1,PostDebut,11344,12166.7,F,0,0
14539.2,2000.33,1,PostDebut,12274,10585,F,0,0
14539.2,2000.33,1,PreDebut,17043,2585.42,F,0,0
14539.2,2000.33,1,PreDebut,17505,1855.42,F,0,0
14539.2,2000.33,1,PostDebut,12180,10737.1,F,0,0
14539.2,2000.33,1,PostDebut,174,15604.2,M,0,0
14539.2,2000.33,1,PostDebut,175,15595.8,M,0,0
14539.2,2000.33,1,PostDebut,14989,6083.33,F,0,0
14539.2,2000.33,1,PostDebut,10919,12927.1,F,0,0
14539.2,2000.33,1,PostDebut,178,19523.5,M,0,0
14539.2,2000.33,1,PreDebut,16525,3497.92,M,0,0
14539.2,2000.33,1,PostDebut,11216,12379.6,F,0,0
14539.2,2000.33,1,PostDebut,181,19231.9,M,0,0
14539.2,2000.33,1,PreDebut,15743,4775.42,F,0,0
14539.2,2000.33,1,PostDebut,183,18761.1,M,0,0
14539.2,2000.33,1,PreDebut,17549,1794.58,F,0,0
14539.2,2000.33,1,PostDebut,185,19736,F,0,0
14539.2,2000.33,1,PostDebut,186,15903.3,M,0,0
14539.2,2000.33,1,PostDebut,187,20064.9,F,0,0
14539.2,2000.33,1,PostDebut,188,15711.2,F,0,0
14539.2,2000.33,1,PostDebut,14152,7482.49,F,0,0
14539.2,2000.33,1,PostDebut,14351,7147.9,M,0,0
14539.2,2000.33,1,PostDebut,191,19608.9,F,0,0
14539.2,2000.33,1,PostDebut,11035,12714.2,M,0,0
14539.2,2000.33,1,PostDebut,193,15265.3,M,0,0
14539.2,2000.33,1,PostDebut,14476,6934.99,F,0,0
14539.2,2000.33,1,PostDebut,195,18998.8,F,0,0
14539.2,2000.33,1,PostDebut,10664,13353,F,0,0
14539.2,2000.33,1,PostDebut,197,19896.3,F,0,0
14539.2,2000.33,1,PreDebut,15530,5140.42,M,0,0
14539.2,2000.33,1,PreDebut,17270,2220.42,M,0,0
14539.2,2000.33,1,PostDebut,200,19783.3,F,0,0
14539.2,2000.33,1,PostDebut,201,17563.8,M,0,0
14539.2,2000.33,1,PostDebut,11511,11862.5,F,0,0
14539.2,2000.33,1,PostDebut,15170,5779.16,F,0,0
14539.2,2000.33,1,PostDebut,14752,6478.74,M,0,0
14539.2,2000.33,1,PostDebut,205,19144.3,M,0,0
14539.2,2000.33,1,PostDebut,11986,11071.7,F,0,0
14539.2,2000.33,1,PostDebut,11231,12349.2,F,0,0
14539.2,2000.33,1,PostDebut,208,18829.9,F,0,0
14539.2,2000.33,1,PreDebut,15417,5353.33,F,0,0
14539.2,2000.33,1,PostDebut,12970,9459.58,M,0,0
14539.2,2000.33,1,PostDebut,13984,7756.23,F,0,0
14539.2,2000.33,1,PostDebut,212,17991.5,F,0,0
14539.2,2000.33,1,PreDebut,15230,5657.5,F,0,0
14539.2,2000.33,1,PostDebut,14083,7604.15,F,0,0
14539.2,2000.33,1,PostDebut,11471,11953.8,F,0,0
14539.2,2000.33,1,PostDebut,216,15736.3,M,0,0
14539.2,2000.33,1,PostDebut,13187,9124.99,F,0,0
14539.2,2000.33,1,PreDebut,15273,5596.66,M,0,0
14539.2,2000.33,1,PostDebut,219,17292.6,F,0,0
14539.2,2000.33,1,PostDebut,13066,9307.49,F,0,0
14539.2,2000.33,1,PostDebut,11818,11375.8,M,0,0
14539.2,2000.33,1,PostDebut,222,16962.9,M,0,0
14539.2,2000.33,1,PostDebut,12676,9915.83,F,0,0
14539.2,2000.33,1,PreDebut,17422,1977.08,M,0,0
14539.2,2000.33,1,PostDebut,12626,10007.1,F,0,0
14539.2,2000.33,1,PreDebut,18149,882.083,F,0,0
14539.2,2000.33,1,PostDebut,227,15430.9,F,0,0
14539.2,2000.33,1,PreDebut,18132,912.5,M,0,0
14539.2,2000.33,1,PostDebut,13146,9185.83,M,0,0
14539.2,2000.33,1,PostDebut,230,19568.7,M,0,0
14539.2,2000.33,1,PreDebut,15954,4410.42,F,0,0
14539.2,2000.33,1,PreDebut,15596,5018.75,M,0,0
14539.2,2000.33,1,PreDebut,18196,821.25,F,0,0
14539.2,2000.33,1,PostDebut,10962,12835.9,F,0,0
14539.2,2000.33,1,PostDebut,235,15861.7,M,0,0
14539.2,2000.33,1,PostDebut,13523,8547.07,F,0,0
14539.2,2000.33,1,PostDebut,237,18859.1,M,0,0
14539.2,2000.33,1,PreDebut,16760,3102.5,M,0,0
14539.2,2000.33,1,PostDebut,11576,11771.3,F,0,0
14539.2,2000.33,1,PreDebut,17401,2007.5,M,0,0
14539.2,2000.33,1,PreDebut,18352,577.917,M,0,0
14539.2,2000.33,1,PostDebut,14168,7452.07,M,0,0
14539.2,2000.33,1,PostDebut,12832,9672.5,F,0,0
14539.2,2000.33,1,PostDebut,244,16467.6,F,0,0
14539.2,2000.33,1,PreDebut,16569,3437.09,M,0,0
14539.2,2000.33,1,PostDebut,246,17328.7,M,0,0
14539.2,2000.33,1,PostDebut,12515,10189.6,F,0,0
14539.2,2000.33,1,PostDebut,10811,13109.6,F,0,0
14539.2,2000.33,1,PostDebut,12951,9490,M,0,0
14539.2,2000.33,1,PostDebut,250,15582.7,M,0,0
14539.2,2000.33,1,PostDebut,13030,9368.33,M,0,0
14539.2,2000.33,1,PreDebut,16510,3528.34,M,0,0
14539.2,2000.33,1,PreDebut,16432,3650,F,0,0
14539.2,2000.33,1,PostDebut,254,18164,F,0,0
14539.2,2000.33,1,PostDebut,11270,12288.4,F,0,0
14539.2,2000.33,1,PostDebut,11321,12197.1,M,0,0
14539.2,2000.33,1,PreDebut,16266,3862.92,F,0,0
14539.2,2000.33,1,PostDebut,258,18443,M,0,0
14539.2,2000.33,1,PostDebut,13543,8486.24,F,0,0
14539.2,2000.33,1,PreDebut,17269,2220.42,M,0,0
14539.2,2000.33,1,PreDebut,17896,1247.08,M,0,0
14539.2,2000.33,1,PostDebut,13276,8972.91,F,0,0
14539.2,2000.33,1,PostDebut,13583,8425.4,F,0,0
14539.2,2000.33,1,PostDebut,10419,13778.8,M,0,0
14539.2,2000.33,1,PostDebut,12395,10372.1,M,0,0
14539.2,2000.33,1,PostDebut,10143,14295.9,M,0,0
14539.2,2000.33,1,PostDebut,267,15848.8,F,0,0
14539.2,2000.33,1,PostDebut,14082,7604.15,F,0,0
14539.2,2000.33,1,PostDebut,269,18116.6,F,0,0
14539.2,2000.33,1,PostDebut,270,16314,M,0,0
14539.2,2000.33,1,PostDebut,10438,13748.4,F,0,0
14539.2,2000.33,1,PostDebut,14229,7360.82,F,0,0
14539.2,2000.33,1,PostDebut,12273,10585,M,0,0
14539.2,2000.33,1,PreDebut,16265,3862.92,M,0,0
14539.2,2000.33,1,PostDebut,275,14686.8,M,0,0
14539.2,2000.33,1,PostDebut,14151,7482.49,M,0,0
14539.2,2000.33,1,PostDebut,14276,7269.57,M,0,0
14539.2,2000.33,1,PreDebut,15890,4532.09,M,0,0
14539.2,2000.33,1,PostDebut,14190,7421.65,M,0,0
14539.2,2000.33,1,PostDebut,280,16112.8,F,0,0
14539.2,2000.33,1,PostDebut,11830,11345.4,M,0,0
14539.2,2000.33,1,PostDebut,282,14814.6,F,0,0
14539.2,2000.33,1,PostDebut,283,19914.4,F,0,0
14539.2,2000.33,1,PostDebut,13714,8212.48,M,0,0
14539.2,2000.33,1,PostDebut,285,19515.8,M,0,0
14539.2,2000.33,1,PostDebut,11068,12653.4,F,0,0
14539.2,2000.33,1,PostDebut,13043,9337.91,M,0,0
14539.2,2000.33,1,PostDebut,288,19830,M,0,0
14539.2,2000.33,1,PostDebut,289,15847,M,0,0
14539.2,2000.33,1,PostDebut,11532,11832.1,F,0,0
14539.2,2000.33,1,PreDebut,18607,152.083,F,0,0
14539.2,2000.33,1,PostDebut,11924,11162.9,F,0,0
14539.2,2000.33,1,PreDebut,16740,3132.92,M,0,0
14539.2,2000.33,1,PreDebut,16105,4136.67,M,0,0
14539.2,2000.33,1,PreDebut,18091,973.334,M,0,0
14539.2,2000.33,1,PreDebut,16509,3528.34,F,0,0
14539.2,2000.33,1,PostDebut,13560,8455.82,F,0,0
14539.2,2000.33,1,PostDebut,12514,10189.6,M,0,0
14539.2,2000.33,1,PostDebut,15348,5475,F,0,0
14539.2,2000.33,1,PostDebut,300,17526.2,F,0,0
14539.2,2000.33,1,PreDebut,16076,4197.5,F,0,0
14539.2,2000.33,1,PostDebut,12716,9855,F,0,0
14539.2,2000.33,1,PostDebut,11484,11923.4,M,0,0
14539.2,2000.33,1,PostDebut,12025,11010.8,F,0,0
14539.2,2000.33,1,PreDebut,16739,3132.92,M,0,0
14539.2,2000.33,1,PreDebut,16358,3741.25,M,0,0
14539.2,2000.33,1,PostDebut,13691,8242.9,M,0,0
